Animal,,,,,Brain,,,,,,,,,,Music,,,,,,,,,Semantic,Social
G_dolphins,G_macaques,G_sheep,G_wetlands,G_zebras,G_FC_1,G_FC_2,G_FC_3,G_FC_4,G_FC_5,G_SC_1,G_SC_2,G_SC_3,G_SC_4,G_SC_5,G_Africa,G_Beethoven,G_Bohemian,G_Brahms,G_Chopin,G_Clavier,G_HardDays,G_Mozart,G_Thriller,G_glossary,G_karate
1.9916,4.7069,0,4.1893,,3.3542,3.2887,3.3491,3.3604,3.3949,3.3449,3.5249,3.5514,3.5198,3.5563,0.7979,3.7866,3.9413,3.3159,2.6466,1.3964,1.46,2.3518,2.9965,1.7382,0.879
1.9503,4.6815,,4.1426,,3.3105,3.2509,3.2999,3.3222,3.343,3.3129,3.4875,3.5333,3.4904,3.5368,0.7675,3.7278,3.8416,3.2291,2.5745,1.3742,1.318,2.2346,2.8987,1.7192,0.815
1.9,4.6541,,4.0846,,3.2683,3.2039,3.2563,3.2794,3.3216,3.2878,3.4596,3.5076,3.4567,3.4829,0.7531,3.631,3.7287,3.1897,2.5605,1.2572,1.1305,2.1768,2.8181,1.6774,0.7627
1.8269,4.6263,,4.0287,,3.2257,3.1706,3.2075,3.2337,3.3063,3.2651,3.4276,3.4546,3.4116,3.4676,0.7058,3.5398,3.649,3.1141,2.4733,1.1116,0.9958,2.0615,2.765,1.6576,0.7327
1.8052,4.598,,3.9716,,3.1822,3.1427,3.1754,3.1934,3.2755,3.2135,3.3743,3.4401,3.3977,3.4162,0.6016,3.4454,3.5431,3.0166,2.384,1.004,0.8472,2.0258,2.6212,1.637,0.6712
1.7412,4.5693,,3.908,,3.1365,3.101,3.1271,3.1385,3.2257,3.196,3.3611,3.3987,3.3514,3.3584,0.5222,3.3798,3.4447,2.9411,2.3623,0.9587,0.6502,1.9646,2.5724,1.6053,0.6076
1.6251,4.5401,,3.8557,,3.0759,3.059,3.0934,3.1086,3.1775,3.1508,3.3205,3.3829,3.3309,3.3096,0.491,3.2767,3.3313,2.8438,2.2734,0.8176,0.5956,1.8375,2.4697,1.5652,0.4588
1.5595,4.5106,,3.8145,,3.0317,3.0051,3.0442,3.0716,3.1158,3.1373,3.3043,3.3334,3.2611,3.2511,0.4591,3.1498,3.2002,2.7341,2.2106,0.7722,0.5373,1.7521,2.4134,1.5083,0.3878
1.5482,4.4927,,3.7643,,2.9912,2.9693,3.0075,3.0179,3.0664,3.0716,3.2366,3.2869,3.2135,3.1867,0.4098,3.0698,3.0978,2.608,2.0601,0.6148,0.5114,1.621,2.2975,1.4524,0.3112
1.4952,4.4665,,3.7159,,2.9416,2.9353,2.9819,2.964,3.0098,3.0166,3.1829,3.2399,3.1602,3.1548,0.2384,2.9702,2.9717,2.5121,1.9646,0.5567,0.3698,1.5861,2.2088,1.411,0.2388
1.4716,4.4306,,3.6621,,2.879,2.8955,2.9478,2.9126,2.9634,2.967,3.1452,3.1871,3.119,3.1164,0.1783,2.8969,2.8444,2.4205,1.8395,0.4829,0.2027,1.4899,2.0929,1.3968,0
1.4602,4.4231,,3.6229,,2.8441,2.8335,2.8946,2.8667,2.9329,2.8841,3.0967,3.1248,3.054,3.079,0.1116,2.7681,2.7404,2.3234,1.7908,0.3842,0.1657,1.4427,1.9788,1.3588,
1.424,4.4098,,3.5886,,2.8161,2.7835,2.8451,2.8139,2.8576,2.8237,3.0376,3.1012,3.0257,3.0412,0.074,2.6807,2.6223,2.256,1.6385,0.2504,0.1447,1.3314,1.8346,1.3117,
1.3403,4.3734,,3.5295,,2.7866,2.742,2.7967,2.7804,2.8042,2.7935,3.0164,3.073,2.9962,2.997,0.0373,2.5731,2.4847,2.1696,1.5315,0.1429,0.0893,1.2718,1.8147,1.1303,
1.2903,4.3383,,3.4822,,2.7531,2.6963,2.7486,2.7424,2.7631,2.7531,2.9196,3.0202,2.922,2.973,0.0273,2.5114,2.3853,2.1289,1.3912,0.114,0.0724,1.1299,1.6977,1.0719,
1.2565,4.3305,,3.4085,,2.7416,2.6532,2.706,2.7183,2.7493,2.686,2.8841,2.9759,2.8883,2.9167,0,2.4025,2.269,2.0436,1.3435,0.0836,0.0357,1.0904,1.6851,0.9477,
1.2379,4.3155,,3.3756,,2.7056,2.6359,2.6797,2.6987,2.7026,2.6301,2.8322,2.9374,2.8555,2.8784,,2.2839,2.1312,1.9635,1.204,0,0.0271,0.9862,1.6547,0.9198,
1.2124,4.2952,,3.2899,,2.6763,2.5832,2.6226,2.6479,2.6742,2.6006,2.7846,2.9147,2.8291,2.8042,,2.1818,2.0663,1.8781,1.1491,,0,0.8641,1.5308,0.8153,
1.1407,4.2418,,3.2382,,2.6429,2.5485,2.5871,2.6066,2.6569,2.5608,2.7578,2.8687,2.7854,2.7344,,2.0783,1.9484,1.7894,1.1255,,,0.8307,1.4087,0.7662,
1.1041,4.2353,,3.1787,,2.61,2.5241,2.5499,2.5752,2.6248,2.5162,2.7245,2.8347,2.7471,2.6827,,1.9947,1.8295,1.6991,0.9713,,,0.7344,1.3044,0.7383,
1.0904,4.2301,,3.1154,,2.574,2.4859,2.508,2.5368,2.5657,2.4824,2.6712,2.7603,2.6835,2.6473,,1.8778,1.7112,1.5897,0.9414,,,0.6054,1.1854,0.6754,
1.0115,4.2157,,3.0554,,2.5405,2.4355,2.4365,2.4842,2.5429,2.4286,2.6339,2.7023,2.6255,2.6019,,1.7811,1.5884,1.512,0.8136,,,0.5514,1.1228,0.628,
0.9104,4.1766,,2.9986,,2.4999,2.4049,2.4063,2.4534,2.5024,2.3752,2.5548,2.6407,2.5605,2.5498,,1.671,1.4947,1.4547,0.7753,,,0.5036,1.0282,0.593,
0.8645,4.1504,,2.9297,,2.4824,2.3479,2.3582,2.3999,2.4698,2.3471,2.5027,2.6219,2.5225,2.5079,,1.5746,1.3603,1.3981,0.7394,,,0.4338,1.0121,0.5721,
0.774,4.1226,,2.8494,,2.4601,2.3337,2.3402,2.3785,2.4404,2.3007,2.4516,2.5981,2.4903,2.4426,,1.5334,1.2416,1.337,0.6769,,,0.3994,0.8909,0.5279,
0.6918,4.0972,,2.7833,,2.439,2.3193,2.3247,2.3601,2.4162,2.2382,2.4222,2.5356,2.4494,2.4022,,1.4142,1.1034,1.2412,0.6222,,,0.2619,0.8779,0.5158,
0.6077,4.0578,,2.7357,,2.3928,2.2976,2.3057,2.3379,2.3626,2.2045,2.3892,2.4933,2.4084,2.359,,1.3602,1.004,1.2159,0.5104,,,0.2473,0.8082,0.4809,
0.529,4.0323,,2.6643,,2.3848,2.2534,2.2679,2.3051,2.3389,2.1525,2.3419,2.4621,2.3633,2.3294,,1.2371,0.9184,1.1424,0.4408,,,0.159,0.7604,0.4721,
0.5143,4.0063,,2.5817,,2.3467,2.2347,2.2501,2.2825,2.3,2.1059,2.3048,2.4222,2.317,2.3111,,1.1655,0.793,1.0634,0.4139,,,0.098,0.738,0.4579,
0.5001,3.963,,2.5381,,2.3087,2.196,2.2142,2.2493,2.2699,2.0735,2.2626,2.3864,2.2765,2.2804,,1.0631,0.7366,0.983,0.3684,,,0.0844,0.6788,0.4295,
0.4417,3.9223,,2.4987,,2.2937,2.1673,2.1735,2.2239,2.2466,2.0479,2.2177,2.3503,2.2491,2.2208,,0.9518,0.6464,0.8954,0.2969,,,0.0478,0.5525,0.3446,
0.3681,3.8809,,2.4828,,2.259,2.1572,2.1537,2.2004,2.2052,2.0208,2.1886,2.3144,2.2039,2.2116,,0.8768,0.5822,0.8135,0.2454,,,0,0.5152,0.2833,
0.3126,3.8389,,2.4588,,2.2183,2.1123,2.1154,2.1603,2.1571,1.9905,2.1588,2.2676,2.1672,2.1918,,0.7739,0.5146,0.7096,0.2064,,,,0.4204,0.1627,
0.2653,3.7962,,2.4258,,2.1785,2.0791,2.0475,2.1068,2.1243,1.9595,2.12,2.2028,2.106,2.1377,,0.6933,0.4569,0.6595,0.1392,,,,0.4007,0.0961,
0.2506,3.7517,,2.406,,2.1229,2.0455,2.0082,2.0611,2.06,1.9235,2.0864,2.1645,2.0617,2.0915,,0.6332,0.4353,0.5947,0.064,,,,0.3954,0.0803,
0.2118,3.7027,,2.3859,,2.0714,1.9926,1.9353,2.0006,2.0021,1.8919,2.0394,2.1222,2.0334,2.0493,,0.6101,0.3402,0.5469,0,,,,0.2047,0.0395,
0.1714,3.6527,,2.3503,,2.0026,1.9247,1.8561,1.9595,1.9155,1.8289,1.9882,2.0705,1.9942,2.0104,,0.5058,0.2608,0.501,,,,,0.1884,0,
0.0782,3.6015,,2.2999,,1.9554,1.8443,1.8001,1.9045,1.8771,1.7878,1.9482,2.0274,1.9374,1.9772,,0.4062,0.1934,0.4213,,,,,0.1639,,
0,3.5407,,2.2474,,1.906,1.7899,1.7286,1.8437,1.8304,1.7483,1.8892,1.9808,1.8775,1.9356,,0.3663,0.144,0.4045,,,,,0.1473,,
,3.4787,,2.194,,1.8331,1.7359,1.6539,1.7791,1.7634,1.703,1.8315,1.9286,1.8312,1.873,,0.2864,0.1257,0.3499,,,,,0.1165,,
,3.4165,,2.1398,,1.7599,1.6655,1.5962,1.7084,1.7092,1.6633,1.7911,1.8769,1.79,1.8429,,0.24,0.0992,0.3016,,,,,0.0797,,
,3.3535,,2.1238,,1.7154,1.5967,1.5295,1.6881,1.6591,1.6067,1.7402,1.8405,1.7463,1.7701,,0.1598,0.0921,0.2296,,,,,0.0479,,
,3.2896,,2.1058,,1.6665,1.5525,1.5058,1.6367,1.5995,1.5893,1.6993,1.7862,1.6745,1.6947,,0.1267,0.0439,0.1649,,,,,0.026,,
,3.2239,,2.006,,1.6183,1.502,1.4661,1.608,1.5777,1.5144,1.639,1.7732,1.6324,1.5948,,0.0884,0.0399,0.0967,,,,,0,,
,3.1598,,1.9553,,1.5787,1.4558,1.4372,1.5302,1.5014,1.4727,1.6225,1.6979,1.5376,1.5687,,0.0073,0.0348,0.0177,,,,,,,
,3.1142,,1.8979,,1.501,1.3782,1.3839,1.4881,1.4427,1.4311,1.5231,1.6314,1.5091,1.5273,,0,0.0305,0,,,,,,,
,3.0505,,1.8422,,1.4487,1.3347,1.3412,1.429,1.4023,1.3925,1.395,1.4912,1.4559,1.4949,,,0.0101,,,,,,,,
,2.9897,,1.7692,,1.4068,1.3102,1.2792,1.3658,1.351,1.3604,1.361,1.4578,1.4154,1.4649,,,0,,,,,,,,
,2.928,,1.7129,,1.3483,1.2716,1.2263,1.3328,1.3132,1.3285,1.3223,1.4231,1.3668,1.4394,,,,,,,,,,,
,2.8654,,1.679,,1.3089,1.2299,1.1802,1.2917,1.298,1.2579,1.2831,1.3854,1.308,1.3794,,,,,,,,,,,
,2.842,,1.6571,,1.2721,1.1983,1.1732,1.2674,1.274,1.2278,1.2547,1.3459,1.2527,1.3581,,,,,,,,,,,
,2.8181,,1.6174,,1.2103,1.175,1.1502,1.22,1.249,1.1688,1.2102,1.303,1.2304,1.2934,,,,,,,,,,,
,2.7982,,1.5831,,1.1661,1.1537,1.1297,1.1674,1.205,1.1363,1.1795,1.2692,1.1702,1.2741,,,,,,,,,,,
,2.7651,,1.5365,,1.1212,1.116,1.0867,1.1151,1.1529,1.088,1.1251,1.2097,1.1271,1.2295,,,,,,,,,,,
,2.728,,1.4822,,1.0633,1.057,1.0392,1.0623,1.1062,1.0342,1.0929,1.1739,1.071,1.1556,,,,,,,,,,,
,2.692,,1.3979,,1.009,1.0212,0.9867,1.0277,1.0366,1.0013,1.035,1.1201,1.0197,1.1288,,,,,,,,,,,
,2.6567,,1.3226,,0.9365,0.9749,0.9439,0.9418,0.9955,0.928,0.9814,1.0639,0.989,1.0528,,,,,,,,,,,
,2.6084,,1.2914,,0.9004,0.9443,0.9168,0.8894,0.9247,0.8807,0.938,1.018,0.9184,0.9725,,,,,,,,,,,
,2.5799,,1.2247,,0.8241,0.8696,0.8645,0.8131,0.8466,0.8019,0.9028,0.9163,0.8795,0.9258,,,,,,,,,,,
